Year,Make,Fuel,License State
2015,Freightliner,diesel,CA
2016,Freightliner,diesel,CA
2016,Freightliner,diesel,CA
2015,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2020,FREIGHTLINER,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2021,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2024,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,Freightliner,diesel,CA
2020,FREIGHTLINER,diesel,CA
2020,FREIGHTLINER,diesel,CA
2020,FREIGHTLINER,diesel,CA
2020,FREIGHTLINER,diesel,CA
2020,FREIGHTLINER,diesel,CA
2020,FREIGHTLINER,diesel,CA
2020,FREIGHTLINER,diesel,CA
2020,FREIGHTLINER,diesel,CA
2020,FREIGHTLINER,diesel,CA
2020,FREIGHTLINER,diesel,CA
2016,International,diesel,CA
2015,International,diesel,CA
2015,International,diesel,CA
2015,International,diesel,CA
2016,International,diesel,CA
2015,International,diesel,CA
2015,International,diesel,CA
2016,International,diesel,CA
2016,International,diesel,CA
2015,International,diesel,CA
2015,International,diesel,CA
2015,International,diesel,CA
2015,Kenworth,diesel,CA
2014,Kenworth,diesel,CA
2015,Kenworth,diesel,CA
2015,Kenworth,diesel,CA
2016,Kenworth,diesel,CA
2016,Kenworth,diesel,CA
2015,Kenworth,diesel,CA
2015,Kenworth,diesel,CA
2015,Kenworth,diesel,CA
2016,Kenworth,diesel,CA
2016,Kenworth,diesel,CA
2015,Kenworth,diesel,CA
2016,Kenworth,diesel,CA
2020,KENWORTH,diesel,CA
2020,Kenworth,diesel,CA
2020,Kenworth,diesel,CA
2020,Kenworth,diesel,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2023,Mack,CNG,CA
,Mack,CNG,CA
2023,Mack,CNG,CA
2021,Mack,CNG,CA
2023,Mack,CNG,CA
2023,Mack,CNG,CA
2023,Mack,CNG,CA
2023,Mack,CNG,CA
2022,Mack,CNG,CA
2015,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2023,Mack,CNG,CA
2023,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2023,Mack,CNG,CA
2021,Mack,CNG,CA
2021,Mack,CNG,CA
2023,Mack,CNG,CA
2023,Mack,CNG,CA
2023,Mack,CNG,CA
2021,Mack,CNG,CA
2023,Mack,CNG,CA
2023,Mack,CNG,CA
2023,Mack,CNG,CA
2022,Mack,CNG,CA
2023,Mack,CNG,CA
2023,Mack,CNG,CA
2015,Peterbilt,diesel,CA
2015,Volvo,diesel,CA
2024,Volvo,diesel,CA
2024,Volvo,diesel,CA
2020,Volvo,diesel,CA
2020,Volvo,diesel,CA
2020,Volvo,diesel,CA
2021,VOLVO TRUCK,diesel,CA
2023,,diesel,CA
2023,,diesel,CA
,,diesel,CA
2021,,diesel,CA
2021,,diesel,CA
2021,,diesel,CA
2021,,diesel,CA
2021,,diesel,CA
2021,,diesel,CA
2021,,diesel,CA
2021,,diesel,CA
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
